Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples,
190,5490,0,0,0,63198139,3153660,5674369,0,0,
191,5520,0,0,0,63658855,3177650,5717542,0,0,
192,5559,0,0,0,64222785,3204942,5766651,0,0,
193,5583,0,0,0,64499262,3218301,5790687,0,0,
194,5615,0,0,0,64952608,3239188,5828274,0,0,
195,5656,0,0,0,65486580,3264768,5874301,0,0,
196,5686,0,0,0,65914050,3285678,5911930,0,0,
197,5722,0,0,0,66489372,3314806,5964345,0,0,
198,5759,0,0,0,66874920,3333149,5997346,0,0,
199,5794,0,0,0,67341821,3356363,6039118,0,0,
200,5814,0,0,0,67577729,3368249,6060505,0,0,
201,5858,0,0,0,68140854,3394745,6108179,0,0,
202,5893,0,0,0,68529355,3413996,6142815,0,0,
203,5934,0,0,0,69123491,3443233,6195423,0,0,
204,5968,0,0,0,69616433,3467063,6238304,0,0,
205,5996,0,0,0,69960889,3483886,6268574,0,0,
206,6033,0,0,0,70355249,3502654,6302343,0,0,
207,6069,0,0,0,70854114,3527487,6347027,0,0,
208,6100,0,0,0,71260948,3548070,6384065,0,0,
209,6134,0,0,0,71600995,3565272,6415015,0,0,
210,6157,0,0,0,71860743,3578189,6438255,0,0,
211,6176,0,0,0,72077466,3589278,6458207,0,0,
212,6207,0,0,0,72469047,3609525,6494639,0,0,
213,6234,0,0,0,72743640,3623066,6519004,0,0,
214,6271,0,0,0,73220572,3647476,6562926,0,0,
215,6301,0,0,0,73530711,3663052,6590950,0,0,
216,6323,0,0,0,73812246,3676620,6615363,0,0,
217,6357,0,0,0,74315484,3702523,6661975,0,0,
218,6389,0,0,0,74687345,3721304,6695767,0,0,
219,6422,0,0,0,75103781,3741998,6733001,0,0,
220,6461,0,0,0,75518127,3762670,6770194,0,0,
221,6494,0,0,0,76062578,3788893,6817385,0,0,
222,6523,0,0,0,76456700,3809175,6853882,0,0,
223,6559,0,0,0,76917022,3832315,6895520,0,0,
224,6580,0,0,0,77228192,3847767,6923327,0,0,
225,6615,0,0,0,77689177,3870687,6964567,0,0,
226,6647,0,0,0,78209859,3897382,7012604,0,0,
227,6670,0,0,0,78497972,3911780,7038511,0,0,
228,6703,0,0,0,78947772,3934256,7078954,0,0,
229,6727,0,0,0,79190917,3946335,7100684,0,0,
230,6753,0,0,0,79489357,3961881,7128655,0,0,
231,6781,0,0,0,79850542,3980284,7161767,0,0,
232,6802,0,0,0,80138738,3994632,7187583,0,0,
233,6834,0,0,0,80453472,4009846,7214955,0,0,
234,6865,0,0,0,80908583,4031972,7254771,0,0,
235,6892,0,0,0,81215707,4047337,7282417,0,0,
236,6913,0,0,0,81658881,4069856,7322943,0,0,
237,6942,0,0,0,81932251,4083103,7346777,0,0,
238,6970,0,0,0,82316002,4102388,7381480,0,0,
239,6989,0,0,0,82537076,4112949,7400481,0,0,
240,7014,0,0,0,82945539,4133400,7437283,0,0,
241,7044,0,0,0,83346601,4154084,7474501,0,0,
242,7067,0,0,0,83580875,4164817,7493809,0,0,
243,7095,0,0,0,83998116,4185028,7530179,0,0,
244,7126,0,0,0,84353210,4202846,7562238,0,0,
245,7148,0,0,0,84578746,4214202,7582671,0,0,
246,7171,0,0,0,84788984,4224495,7601188,0,0,
247,7197,0,0,0,85191957,4243674,7635701,0,0,
248,7226,0,0,0,85492365,4257749,7661025,0,0,
249,7250,0,0,0,85848661,4275954,7693783,0,0,
250,7276,0,0,0,86082962,4287215,7714043,0,0,
251,7303,0,0,0,86547113,4308805,7752896,0,0,
252,7319,0,0,0,86818454,4322972,7778389,0,0,
253,7345,0,0,0,87220748,4342387,7813326,0,0,
254,7363,0,0,0,87434456,4352956,7832342,0,0,
255,7391,0,0,0,87788112,4370860,7864557,0,0,
256,7410,0,0,0,87991454,4380810,7882460,0,0,
257,7433,0,0,0,88368054,4400125,7917217,0,0,
258,7459,0,0,0,88606901,4412050,7938671,0,0,
259,7484,0,0,0,89000402,4432355,7975211,0,0,
260,7506,0,0,0,89223144,4442949,7994271,0,0,
261,7541,0,0,0,89608684,4461693,8027996,0,0,
262,7570,0,0,0,90026204,4482147,8064802,0,0,
263,7601,0,0,0,90595981,4510634,8116065,0,0,
264,7630,0,0,0,90925845,4527142,8145768,0,0,
265,7657,0,0,0,91420409,4552877,8192080,0,0,
266,7676,0,0,0,91623761,4562603,8209581,0,0,
267,7710,0,0,0,92052401,4584165,8248377,0,0,
268,7733,0,0,0,92300573,4596043,8269749,0,0,
269,7762,0,0,0,92755673,4616336,8306266,0,0,
270,7777,0,0,0,92920342,4624638,8321205,0,0,
271,7804,0,0,0,93379407,4648552,8364240,0,0,
272,7829,0,0,0,93708151,4665883,8395424,0,0,
273,7852,0,0,0,94031641,4681660,8423813,0,0,
274,7895,0,0,0,94491702,4704982,8465775,0,0,
275,7921,0,0,0,94890305,4724688,8501235,0,0,
276,7958,0,0,0,95373538,4749731,8546298,0,0,
277,7980,0,0,0,95791089,4771901,8586196,0,0,
278,7998,0,0,0,96064853,4785042,8609844,0,0,
279,8017,0,0,0,96359730,4799622,8636080,0,0,
280,8042,0,0,0,96659230,4815209,8664128,0,0,
281,8067,0,0,0,97071790,4836524,8702484,0,0,
282,8095,0,0,0,97394923,4852896,8731943,0,0,
283,8125,0,0,0,97860377,4875453,8772534,0,0,
284,8148,0,0,0,98141781,4889174,8797224,0,0,
285,8172,0,0,0,98569945,4911913,8838144,0,0,
286,8197,0,0,0,98891340,4928703,8868355,0,0,
287,8221,0,0,0,99257193,4946145,8899743,0,0,
288,8250,0,0,0,99616411,4964979,8933632,0,0,
289,8275,0,0,0,99880249,4978671,8958268,0,0,
290,8291,0,0,0,100040054,4986873,8973025,0,0,
291,8324,0,0,0,100656776,5018118,9029257,0,0,
292,8354,0,0,0,101086930,5039448,9067640,0,0,
293,8379,0,0,0,101442131,5057137,9099471,0,0,
294,8395,0,0,0,101705715,5070308,9123173,0,0,
295,8411,0,0,0,101856380,5077226,9135621,0,0,
296,8432,0,0,0,102178182,5091431,9161182,0,0,
297,8457,0,0,0,102427052,5103468,9182838,0,0,
298,8473,0,0,0,102616633,5112945,9199891,0,0,
299,8498,0,0,0,102958426,5129679,9230001,0,0,
300,8522,0,0,0,103292803,5145858,9259114,0,0,
301,8540,0,0,0,103544248,5158366,9281621,0,0,
302,8559,0,0,0,103789845,5170358,9303199,0,0,
303,8584,0,0,0,104081672,5184874,9329320,0,0,
304,8605,0,0,0,104453320,5203782,9363347,0,0,
305,8624,0,0,0,104631926,5212149,9378401,0,0,
306,8649,0,0,0,105070337,5234236,9418145,0,0,
307,8672,0,0,0,105391797,5249460,9445540,0,0,
308,8695,0,0,0,105666282,5262516,9469032,0,0,
309,8713,0,0,0,105854774,5271684,9485528,0,0,
310,8739,0,0,0,106181099,5287424,9513850,0,0,
311,8754,0,0,0,106384228,5297796,9532514,0,0,
312,8780,0,0,0,106798001,5319412,9571411,0,0,
313,8802,0,0,0,107191220,5339298,9607198,0,0,
314,8815,0,0,0,107318596,5345508,9618372,0,0,
315,8841,0,0,0,107655189,5360715,9645736,0,0,
316,8872,0,0,0,108168681,5387581,9694084,0,0,
317,8888,0,0,0,108334140,5395928,9709104,0,0,
318,8909,0,0,0,108708307,5413963,9741559,0,0,
319,8936,0,0,0,109041468,5430011,9770433,0,0,
320,8955,0,0,0,109260347,5440953,9790120,0,0,
321,8980,0,0,0,109607990,5458559,9821801,0,0,
322,9003,0,0,0,109944633,5475896,9852998,0,0,
323,9022,0,0,0,110134339,5485213,9869763,0,0,
324,9041,0,0,0,110420564,5499754,9895928,0,0,
325,9061,0,0,0,110623803,5510310,9914923,0,0,
326,9083,0,0,0,110906779,5524002,9939560,0,0,
327,9102,0,0,0,111310632,5544571,9976577,0,0,
328,9124,0,0,0,111507427,5553686,9992975,0,0,
329,9145,0,0,0,111799228,5568339,10019342,0,0,
330,9158,0,0,0,112004931,5578551,10037719,0,0,
331,9178,0,0,0,112256167,5591195,10060469,0,0,
332,9203,0,0,0,112663774,5612389,10098605,0,0,
333,9235,0,0,0,112988411,5628114,10126894,0,0,
334,9256,0,0,0,113380382,5647980,10162646,0,0,
335,9287,0,0,0,113737007,5666117,10195279,0,0,
336,9305,0,0,0,114022986,5680863,10221814,0,0,
337,9324,0,0,0,114259499,5692977,10243610,0,0,
338,9341,0,0,0,114528568,5707016,10268873,0,0,
339,9366,0,0,0,114834565,5721987,10295811,0,0,
340,9397,0,0,0,115286958,5745012,10337241,0,0,
341,9428,0,0,0,115778974,5770535,10383168,0,0,
342,9442,0,0,0,116019990,5783276,10406097,0,0,
343,9455,0,0,0,116268793,5795001,10427196,0,0,
344,9468,0,0,0,116412465,5802039,10439860,0,0,
345,9489,0,0,0,116546494,5808107,10450774,0,0,
346,9515,0,0,0,116847163,5823851,10479103,0,0,
347,9535,0,0,0,117119749,5837306,10503314,0,0,
348,9555,0,0,0,117393990,5851094,10528123,0,0,
349,9583,0,0,0,117657771,5864079,10551486,0,0,
350,9613,0,0,0,118055841,5884475,10588187,0,0,
351,9641,0,0,0,118523070,5908722,10631821,0,0,
352,9661,0,0,0,118707359,5917742,10648048,0,0,
353,9675,0,0,0,118905001,5928340,10667119,0,0,
354,9696,0,0,0,119154426,5940645,10689260,0,0,
355,9718,0,0,0,119447813,5955768,10716476,0,0,
356,9737,0,0,0,119688962,5968285,10739000,0,0,
357,9757,0,0,0,119941142,5981270,10762365,0,0,
358,9772,0,0,0,120113706,5989656,10777454,0,0,
359,9797,0,0,0,120371626,6002102,10799845,0,0,
360,9820,0,0,0,120725033,6020617,10833162,0,0,
361,9835,0,0,0,120945087,6032084,10853797,0,0,
362,9852,0,0,0,121135620,6041865,10871397,0,0,
363,9871,0,0,0,121397803,6054783,10894641,0,0,
364,9882,0,0,0,121558363,6063268,10909910,0,0,
365,9898,0,0,0,121746519,6072582,10926669,0,0,
366,9931,0,0,0,122318766,6101841,10979324,0,0,
367,9951,0,0,0,122634001,6118507,11009316,0,0,
368,9969,0,0,0,122868355,6130272,11030487,0,0,
369,9988,0,0,0,123189050,6146726,11060097,0,0,
370,10016,0,0,0,123594869,6167771,11097968,0,0,
371,10032,0,0,0,123855476,6181102,11121958,0,0,
372,10055,0,0,0,124145058,6195157,11147248,0,0,
373,10078,0,0,0,124392049,6207195,11168910,0,0,
374,10097,0,0,0,124585001,6216430,11185526,0,0,
375,10121,0,0,0,124917987,6233773,11216732,0,0,
376,10132,0,0,0,125187231,6247124,11240760,0,0,
377,10152,0,0,0,125499810,6262381,11268215,0,0,
378,10174,0,0,0,125846499,6278703,11297586,0,0,
379,10193,0,0,0,126177442,6295905,11328544,0,0,
380,10213,0,0,0,126525654,6314166,11361405,0,0,
381,10225,0,0,0,126688904,6321507,11374614,0,0,
382,10246,0,0,0,127051441,6339472,11406941,0,0,
383,10265,0,0,0,127324765,6353795,11432714,0,0,
384,10284,0,0,0,127673088,6371579,11464718,0,0,
385,10305,0,0,0,127889904,6382057,11483572,0,0,
386,10321,0,0,0,128193974,6396091,11508826,0,0,
387,10337,0,0,0,128383294,6405235,11525277,0,0,
