filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	e74d9afe-7496-44ea-b9c2-51032c1ab87c	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	89	1	26347.112250	1.585250	1268	FALSE	26347.221000	1181	1.476500	623	8.722377	2.959655	72.921768	9.747897	72.921768	9.747897
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	e81597a0-bc20-4a22-be27-e9e9f9446073	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	36	1	34838.422250	1.448750	1159	FALSE	34838.797250	859	1.073750	478	8.410341	3.037578	78.733017	8.998058	78.733017	8.998058
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	96fdb699-a0f4-448e-be32-c9ee3861a251	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	47	1	42193.880250	1.540750	1232	FALSE	42194.061500	1087	1.359500	554	6.205978	2.849691	54.925652	7.685842	54.925652	7.685842
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	8d676d9d-0ae1-4b44-9630-b6eef472e45a	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	107	1	25949.399500	1.060750	848	TRUE	25949.518250	753	0.942000	401	9.258623	2.998952	74.421448	9.747897	74.421448	9.747897
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	0ff39c7c-7965-4b06-a44a-5580732aa580	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	124	1	26004.341500	0.936000	748	FALSE	26004.400250	701	0.877250	415	8.840650	3.083694	75.171280	9.560437	75.171280	9.560437
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	a69ecf77-2b8e-4c12-86f0-033983efec8f	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	83	1	34239.259500	14.292500	11434	FALSE	34239.393250	11327	14.158750	6719	8.351487	3.086166	72.546852	9.372978	72.546852	9.372978
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	3e67dc6a-4909-492f-9a1c-56be048965f7	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	82	1	30720.277500	1.241500	993	FALSE	30720.452500	853	1.066500	300	8.984660	2.628506	72.546852	7.498383	72.546852	7.498383
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	62e96c36-cb89-444a-bfe2-00590c2cef1a	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	21	1	22936.994000	1.272250	1017	TRUE	22937.147750	894	1.118500	470	10.039883	3.064280	73.859062	9.372978	73.859062	9.372978
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	9c9a83a8-089f-4e1c-a88c-b8356fa0f84f	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	124	1	26775.752000	1.674500	1339	FALSE	26776.309500	893	1.117000	432	8.610016	2.890762	69.360039	9.560437	69.360039	9.560437
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	5a6ba44f-9223-4820-958f-da07a767a636	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	100	1	27479.728750	0.715500	572	TRUE	27479.806250	510	0.638000	169	12.094994	2.703705	78.920471	8.998058	78.920471	8.998058
